MovieID,Title,Genre,ReleaseYear,UserRating
1,The Lost City,Action,2015,7.8
2,Silent Echo,Drama,2017,8.2
3,Galactic Wars,Sci-Fi,2020,9.1
4,Hidden Truth,Thriller,2018,7.4
5,Love & Chaos,Romance,2016,6.9
6,The Last Stand,Action,2019,8.0
7,Journey Beyond,Adventure,2015,7.5
8,Shadows Within,Horror,2021,6.8
9,Code Breakers,Thriller,2014,8.4
10,Infinite Dreams,Sci-Fi,2016,7.9
11,Eternal Flame,Romance,2018,8.1
12,Whispers of Time,Drama,2020,7.3
13,Rising Storm,Action,2021,8.6
14,The Forgotten Path,Adventure,2017,7.7
15,Nightmare Alley,Horror,2019,6.5
16,Digital Horizon,Sci-Fi,2022,9.0
17,Dark Secrets,Thriller,2015,7.2
18,Love Again,Romance,2021,8.3
19,Crimson Tide,Action,2018,7.9
20,Mountain Quest,Adventure,2016,7.1
21,Silent River,Drama,2019,7.8
22,The Haunted Lake,Horror,2017,6.7
23,Future Rising,Sci-Fi,2015,8.7
24,Final Chase,Action,2020,8.5
25,The Secret Garden,Romance,2014,7.0
26,Truth Unveiled,Thriller,2016,8.2
27,Lonely Hearts,Drama,2022,7.6
28,Edge of Tomorrow,Sci-Fi,2018,8.9
29,The Brave Soul,Action,2017,8.1
30,Wild Journey,Adventure,2021,7.4
31,Haunted Dreams,Horror,2014,6.4
32,Time Loop,Sci-Fi,2019,8.3
33,Cold Shadows,Thriller,2022,7.7
34,Broken Vows,Romance,2020,6.9
35,Dragonâ€™s Wrath,Action,2016,8.4
36,Lost in the Wild,Adventure,2019,7.2
37,Dark Mirror,Horror,2018,6.6
38,The Awakening,Drama,2015,7.5
39,Cosmic Voyage,Sci-Fi,2021,9.2
40,Heartstrings,Romance,2022,8.0
